track_id,spot_id,mask_id,fr,X,Y,area,mean,edge,p_death
0,28992,28,6,137,653,2086.598,0.56819,False,0.87171
0,29953,29,25,146,660,1189.472,1.25167,False,0.01021
0,28995,25,7,137,650,2117.993,0.57840,False,0.03052
0,29699,29,23,138,647,1549.126,0.93366,False,0.02690
0,29827,28,24,140,651,1466.998,0.99557,False,0.03052
0,28996,27,2,140,657,2039.632,0.54749,False,0.88185
0,29957,36,27,143,661,639.944,2.38157,False,0.04379
0,30534,30,37,77,617,582.178,1.26860,False,0.06887
0,30918,29,46,64,573,790.888,0.74176,False,0.78287
0,29323,28,14,134,646,1930.129,0.67376,False,0.90549
0,30923,31,45,57,579,934.047,0.76440,False,0.33104
0,29005,25,4,139,657,2102.672,0.55971,False,0.04077
0,30158,32,31,115,653,362.919,2.12415,False,0.07078
0,28879,23,8,134,649,2063.743,0.58976,False,0.03930
0,30545,31,38,69,610,642.204,1.16082,False,0.86790
0,28948,26,5,138,653,2195.098,0.54001,False,0.06116
0,29271,26,12,134,649,2012.005,0.62550,False,0.03083
0,29591,26,19,133,643,1767.882,0.78886,False,0.02793
0,30167,32,30,121,657,378.742,1.99292,False,0.81289
0,29594,25,18,129,643,1799.779,0.75972,False,0.89259
0,30749,30,42,57,583,806.209,0.93604,False,0.63775
0,29470,28,9,137,647,2006.731,0.60912,False,0.03884
0,29342,26,11,135,648,2013.763,0.61821,False,0.02523
0,30174,35,29,133,665,402.351,1.95421,False,0.02882
0,30622,33,39,70,601,678.622,1.06328,False,0.00740
0,30690,31,41,60,589,846.645,0.88913,False,0.33442
0,29604,25,17,134,645,1832.680,0.73846,False,0.04377
0,29734,27,21,133,643,1614.426,0.88097,False,0.02520
0,29798,28,22,136,646,1591.571,0.90101,False,0.92278
0,30054,32,28,141,665,645.469,2.39369,False,0.05171
0,30246,33,32,116,652,320.977,2.01647,False,0.07437
0,30439,37,36,86,633,545.509,1.37282,False,0.01190
0,30315,29,34,93,645,447.308,1.46937,False,0.92487
0,30379,31,35,85,641,530.691,1.37643,False,0.01549
0,29805,27,20,132,644,1661.895,0.84408,False,0.02896
0,28974,26,1,139,659,2016.526,0.54907,False,0.05500
0,28975,27,3,140,656,2079.817,0.55567,False,0.02763
0,29231,28,10,136,647,2050.432,0.60404,False,0.90135
0,29423,26,15,134,647,1874.121,0.70547,False,0.02954
0,29169,28,13,137,647,1953.486,0.65664,False,0.03136
0,30769,30,43,57,582,803.195,0.92993,False,0.00253
