track_id,spot_id,mask_id,fr,X,Y,area,mean,edge,p_interphase,p_mitosis,p_death,cell_class
2,24787,32,28,141,665,645.469,2.39369,False,0.89751,0.03169,0.05128,interphase
2,24021,28,9,137,647,2006.731,0.60912,False,0.87986,0.03198,0.04441,interphase
2,24533,25,17,134,645,1832.680,0.73846,False,0.86580,0.03365,0.04886,interphase
2,24796,32,30,121,657,378.742,1.99292,False,0.84590,0.03851,0.06064,interphase
2,25502,31,41,60,589,846.645,0.88913,False,0.66070,0.00506,0.00285,interphase
2,23776,25,7,137,650,2117.993,0.57840,False,0.86886,0.03183,0.04485,interphase
2,23841,27,2,140,657,2039.632,0.54749,False,0.88185,0.02515,0.03460,interphase
2,25441,30,42,57,583,806.209,0.93604,False,0.62528,0.00323,0.00394,interphase
2,25569,29,46,64,573,790.888,0.74176,False,0.64282,0.00359,0.00411,interphase
2,24482,26,19,133,643,1767.882,0.78886,False,0.87032,0.03191,0.04726,interphase
2,24930,35,29,133,665,402.351,1.95421,False,0.85519,0.04194,0.06850,interphase
2,24485,28,24,140,651,1466.998,0.99557,False,0.91390,0.02298,0.03207,interphase
2,24742,36,27,143,661,639.944,2.38157,False,0.92050,0.02587,0.04219,interphase
2,24937,33,32,116,652,320.977,2.01647,False,0.87432,0.03303,0.04994,interphase
2,24874,29,25,146,660,1189.472,1.25167,False,0.92407,0.02244,0.03330,interphase
2,24555,28,22,136,646,1591.571,0.90101,False,0.88118,0.02870,0.04130,interphase
2,24236,28,14,134,646,1930.129,0.67376,False,0.86455,0.03393,0.04878,interphase
2,24940,33,26,146,661,604.531,2.48321,False,0.92761,0.02328,0.03827,interphase
2,25197,30,33,104,652,408.127,1.73242,False,0.82368,0.02983,0.03414,interphase
2,25646,30,43,57,582,803.195,0.92993,False,0.60260,0.00236,0.00366,interphase
2,24111,26,11,135,648,2013.763,0.61821,False,0.87061,0.03144,0.04514,interphase
2,25328,31,38,69,610,642.204,1.16082,False,0.87942,0.00810,0.00552,interphase
2,23985,26,12,134,649,2012.005,0.62550,False,0.86938,0.03143,0.04494,interphase
2,25266,33,39,70,601,678.622,1.06328,False,0.85803,0.00890,0.00604,interphase
2,25651,33,44,60,582,762.005,0.93420,False,0.63172,0.00250,0.00281,interphase
2,23735,25,4,139,657,2102.672,0.55971,False,0.86413,0.02937,0.04077,interphase
2,24055,28,10,136,647,2050.432,0.60404,False,0.87844,0.03164,0.04458,interphase
2,25015,32,31,115,653,362.919,2.12415,False,0.86194,0.03343,0.05055,interphase
2,25722,31,45,57,579,934.047,0.76440,False,0.57239,0.00260,0.00346,interphase
2,24315,27,21,133,643,1614.426,0.88097,False,0.87173,0.03082,0.04604,interphase
2,24253,28,13,137,647,1953.486,0.65664,False,0.86654,0.03337,0.04962,interphase
2,24190,26,15,134,647,1874.121,0.70547,False,0.86456,0.03401,0.04897,interphase
3,24192,13,14,752,241,1774.412,0.45804,False,0.64163,0.00880,0.00510,interphase
3,25602,18,44,733,233,2237.040,0.44606,False,0.39386,0.00593,0.00314,interphase
3,24453,11,17,748,241,1909.785,0.43344,False,0.58504,0.00864,0.00534,interphase
3,25861,17,50,725,240,2629.094,0.40245,False,0.34166,0.00425,0.00225,interphase
3,25990,17,49,723,239,2559.775,0.40835,False,0.32665,0.00470,0.00249,interphase
3,23688,12,4,769,240,1377.085,0.53099,False,0.89402,0.01153,0.00605,interphase
3,23946,12,12,756,242,1666.416,0.47467,False,0.70043,0.01028,0.00623,interphase
3,24332,10,18,745,242,1932.891,0.42684,False,0.55033,0.00848,0.00533,interphase
3,25485,14,41,734,230,2209.162,0.43665,False,0.37398,0.00509,0.00286,interphase
3,23826,12,5,771,241,1469.007,0.51174,False,0.89286,0.01217,0.00657,interphase
3,24084,12,11,756,243,1648.584,0.47806,False,0.71290,0.01048,0.00611,interphase
3,24217,15,13,757,239,1776.924,0.45408,False,0.69788,0.01021,0.00591,interphase
3,24474,12,20,748,240,1870.103,0.43815,False,0.57397,0.00890,0.00517,interphase
3,23579,10,8,761,242,1473.026,0.51015,False,0.79655,0.01180,0.00658,interphase
3,25883,16,53,723,245,2476.391,0.43422,False,0.33536,0.00483,0.00260,interphase
3,25118,13,33,745,226,2057.464,0.44269,False,0.45747,0.00776,0.00472,interphase
3,24866,14,26,751,233,2007.987,0.43200,False,0.58562,0.00878,0.00498,interphase
3,24738,14,30,748,230,2036.116,0.43404,False,0.50696,0.00740,0.00395,interphase
3,24997,14,31,747,226,2125.527,0.42139,False,0.49273,0.00735,0.00388,interphase
3,23592,11,1,772,243,1350.462,0.55355,False,0.91941,0.01238,0.00655,interphase
3,23984,13,9,764,243,1521.499,0.50607,False,0.81924,0.01169,0.00650,interphase
3,25392,14,42,736,233,2290.034,0.43284,False,0.41208,0.00638,0.00355,interphase
3,23986,13,10,761,244,1575.748,0.50048,False,0.76866,0.01102,0.00605,interphase
3,23604,13,6,766,241,1437.613,0.52170,False,0.85756,0.01247,0.00720,interphase
3,23733,11,2,772,243,1405.967,0.52977,False,0.90974,0.01290,0.00758,interphase
3,24889,14,32,749,222,2153.406,0.41981,False,0.50445,0.00864,0.00538,interphase
3,25405,14,40,737,228,2088.105,0.46248,False,0.38520,0.00517,0.00289,interphase
3,23621,12,3,773,241,1393.410,0.54120,False,0.91005,0.01183,0.00638,interphase
3,25542,18,46,732,236,2319.922,0.43228,False,0.39129,0.00550,0.00301,interphase
3,25670,17,47,726,238,2416.868,0.42173,False,0.34144,0.00452,0.00232,interphase
3,25160,17,36,744,231,2087.603,0.44329,False,0.47510,0.00709,0.00418,interphase
3,24394,14,22,747,235,1991.913,0.42877,False,0.53868,0.00849,0.00490,interphase
3,25805,19,48,723,237,2451.527,0.42168,False,0.30669,0.00404,0.00215,interphase
3,25296,14,37,738,231,2080.571,0.44898,False,0.40415,0.00607,0.00342,interphase
3,23634,13,7,766,241,1418.023,0.52612,False,0.85981,0.01303,0.00769,interphase
3,25301,15,38,738,231,2120.002,0.44552,False,0.40710,0.00594,0.00332,interphase
3,24409,11,19,747,240,1958.509,0.42510,False,0.56566,0.00865,0.00531,interphase
3,24410,13,24,750,236,2044.907,0.41874,False,0.56808,0.00842,0.00472,interphase
3,25693,18,45,727,237,2208.409,0.45530,False,0.34851,0.00509,0.00256,interphase
3,24670,14,28,751,230,2063.241,0.42831,False,0.55987,0.00832,0.00463,interphase
3,26078,14,51,724,241,2512.307,0.42399,False,0.33407,0.00459,0.00249,interphase
3,25055,14,35,744,228,2188.567,0.42550,False,0.46092,0.00720,0.00418,interphase
3,24546,15,23,748,236,2006.731,0.42152,False,0.55268,0.00813,0.00452,interphase
3,24802,14,29,749,230,2127.034,0.41753,False,0.53255,0.00807,0.00436,interphase
3,24164,12,15,751,241,1868.596,0.43736,False,0.62029,0.00910,0.00561,interphase
3,25061,13,34,743,227,2141.601,0.42854,False,0.44593,0.00735,0.00430,interphase
3,25194,16,39,742,229,2202.883,0.43534,False,0.44014,0.00581,0.00323,interphase
3,26090,17,52,722,245,2457.555,0.43576,False,0.32378,0.00435,0.00230,interphase
3,24300,13,21,749,236,2052.190,0.41082,False,0.56616,0.00896,0.00528,interphase
3,25968,20,54,719,248,2521.599,0.43088,False,0.30854,0.00446,0.00235,interphase
3,23921,14,16,752,241,1858.549,0.43867,False,0.62797,0.00944,0.00567,interphase
3,25589,17,43,736,232,2218.204,0.44360,False,0.40925,0.00634,0.00340,interphase
3,24698,16,27,749,232,2076.803,0.42097,False,0.53216,0.00839,0.00474,interphase
3,24700,11,25,751,235,2015.270,0.42709,False,0.58661,0.00840,0.00454,interphase
4,24704,12,25,501,229,356.138,1.49009,False,0.13429,0.31434,0.51888,dead
4,24193,14,14,502,223,314.698,1.66944,False,0.10050,0.33171,0.56047,dead
4,25604,19,44,498,230,305.656,1.63361,False,0.13474,0.29406,0.51692,dead
4,23690,13,4,502,226,323.739,1.62929,False,0.09893,0.33102,0.56540,dead
4,25994,21,49,493,232,306.912,1.61271,False,0.18897,0.23492,0.40360,dead
4,23947,13,12,501,226,312.437,1.63726,False,0.08862,0.32544,0.57684,dead
4,24460,13,17,502,224,342.074,1.53766,False,0.11637,0.32622,0.54817,dead
4,25868,21,50,495,232,307.163,1.61553,False,0.17501,0.25644,0.43544,dead
4,24333,11,18,498,224,321.981,1.60578,False,0.10635,0.30562,0.55108,dead
4,25486,15,41,497,231,298.121,1.69178,False,0.15829,0.28529,0.48111,dead
4,23827,13,5,504,225,312.940,1.70069,False,0.10973,0.33601,0.55242,dead
4,24085,13,11,502,223,316.456,1.61766,False,0.10025,0.33282,0.56197,dead
4,24475,13,20,501,224,322.483,1.59587,False,0.09847,0.32349,0.56884,dead
4,24220,16,13,506,227,359.403,1.49469,False,0.18553,0.31489,0.49652,dead
4,23581,11,8,503,226,375.226,1.47533,False,0.16863,0.31375,0.50750,dead
4,25119,14,33,498,233,301.135,1.67113,False,0.16031,0.28710,0.47369,dead
4,25887,19,53,497,234,304.149,1.66159,False,0.18311,0.26299,0.43473,dead
4,24867,15,26,502,231,311.935,1.67903,False,0.12979,0.31905,0.52424,dead
4,24739,15,30,496,232,298.875,1.69718,False,0.16232,0.27525,0.46752,dead
4,24998,15,31,499,231,309.423,1.63418,False,0.14693,0.29670,0.50044,dead
4,23593,12,1,503,226,317.963,1.62119,False,0.09922,0.33535,0.56304,dead
4,23987,14,9,504,224,316.958,1.64273,False,0.11984,0.33573,0.54107,dead
4,23988,14,10,506,222,335.292,1.53539,False,0.16642,0.32676,0.50124,dead
4,23734,12,2,505,229,314.446,1.67692,False,0.13577,0.33292,0.52771,dead
4,23606,14,6,502,223,329.767,1.63303,False,0.11474,0.33029,0.54915,dead
4,25400,16,42,498,233,314.698,1.60843,False,0.17721,0.27680,0.45671,dead
4,24891,15,32,500,231,317.711,1.59815,False,0.14080,0.30678,0.51021,dead
4,25407,15,40,498,233,311.181,1.63788,False,0.17025,0.28300,0.46984,dead
4,23622,13,3,504,229,322.232,1.66750,False,0.12361,0.33256,0.53786,dead
4,25545,20,46,503,233,306.661,1.63917,False,0.15950,0.31634,0.49644,dead
4,24395,15,22,498,230,310.428,1.69895,False,0.13717,0.29220,0.50943,dead
4,25676,20,47,497,232,291.842,1.68479,False,0.15769,0.28220,0.48201,dead
4,25168,19,36,500,234,309.675,1.64550,False,0.17379,0.28733,0.47266,dead
4,25808,22,48,494,232,286.819,1.70716,False,0.17932,0.25275,0.43849,dead
4,23636,14,7,504,223,321.981,1.63636,False,0.11967,0.33117,0.54441,dead
4,25302,16,38,497,232,301.638,1.68723,False,0.15524,0.28515,0.48015,dead
4,24411,12,19,499,227,318.214,1.64669,False,0.10576,0.31572,0.55219,dead
4,25307,16,37,497,232,314.949,1.61670,False,0.16979,0.27705,0.46303,dead
4,24414,14,24,499,233,333.785,1.62060,False,0.16079,0.29138,0.47041,dead
4,24671,15,28,501,231,339.060,1.56285,False,0.14286,0.30827,0.50940,dead
4,25696,20,45,497,233,296.614,1.69592,False,0.17154,0.27323,0.45671,dead
4,25057,16,35,496,234,305.405,1.65316,False,0.18581,0.25640,0.42952,dead
4,24547,16,23,495,234,308.921,1.73318,False,0.17905,0.25089,0.42089,dead
4,24804,15,29,501,231,319.721,1.62638,False,0.13276,0.31091,0.51829,dead
4,24166,13,15,502,224,345.087,1.51715,False,0.12530,0.32509,0.53759,dead
4,25062,14,34,498,232,313.693,1.61163,False,0.15103,0.29219,0.48868,dead
4,26086,19,51,496,232,280.038,1.73636,False,0.15429,0.27325,0.47625,dead
4,25196,17,39,499,231,306.661,1.66064,False,0.14045,0.29777,0.51427,dead
4,24301,14,21,500,229,318.465,1.66838,False,0.11268,0.32102,0.54830,dead
4,26096,21,52,495,234,306.661,1.64270,False,0.19165,0.24593,0.41091,dead
4,23923,16,16,503,221,301.638,1.68448,False,0.11498,0.32859,0.55102,dead
4,25590,18,43,497,230,311.181,1.61621,False,0.14849,0.28456,0.48963,dead
4,25976,23,54,493,234,285.815,1.73702,False,0.19813,0.22626,0.39508,dead
4,24699,17,27,497,232,309.423,1.70141,False,0.16120,0.27449,0.46585,dead
5,24256,29,13,213,674,1930.380,0.63611,False,0.76332,0.05819,0.05460,interphase
5,24194,28,15,210,674,1967.551,0.64632,False,0.77118,0.06063,0.06085,interphase
5,25219,35,33,220,746,357.896,2.20974,False,0.37899,0.03038,0.02839,interphase
5,23750,28,3,215,687,1716.395,0.65984,False,0.79012,0.07073,0.07396,interphase
5,23881,28,5,215,688,1760.850,0.64693,False,0.79092,0.07030,0.07322,interphase
5,23691,30,6,212,685,1755.827,0.65084,False,0.81520,0.07031,0.07402,interphase
5,24399,27,18,206,676,1984.127,0.66808,False,0.78425,0.06432,0.06896,interphase
5,24591,31,23,211,675,1933.896,0.72883,False,0.74582,0.06247,0.06517,interphase
5,23633,25,8,208,680,1837.201,0.63534,False,0.81303,0.06638,0.06983,interphase
5,24018,29,16,211,675,2026.823,0.62972,False,0.76531,0.06100,0.06146,interphase
5,24023,29,9,211,675,1969.309,0.60534,False,0.77352,0.06127,0.06166,interphase
5,24537,29,20,207,674,1998.192,0.66936,False,0.77334,0.06285,0.06637,interphase
5,24538,27,17,210,676,1969.560,0.66019,False,0.77337,0.06287,0.06546,interphase
5,23708,27,1,217,695,1600.613,0.70347,False,0.80468,0.07590,0.07967,interphase
5,24732,33,27,212,679,1676.462,0.89302,False,0.74081,0.06733,0.06958,interphase
5,24797,34,28,212,684,656.018,2.25169,False,0.74903,0.10607,0.10672,interphase
5,24863,26,25,214,676,1833.183,0.78685,False,0.73079,0.06304,0.06436,interphase
5,24931,30,26,212,675,1837.201,0.80100,False,0.73367,0.06248,0.06392,interphase
5,24936,38,29,211,689,659.032,2.24033,False,0.76173,0.10959,0.11482,interphase
5,24809,35,30,205,690,659.283,2.23397,False,0.77494,0.10751,0.11243,interphase
5,24490,28,19,208,673,1985.132,0.66806,False,0.76816,0.06220,0.06508,interphase
5,24491,30,24,211,676,1896.223,0.75317,False,0.74492,0.06358,0.06569,interphase
5,24237,29,14,210,674,1985.634,0.63499,False,0.77080,0.06084,0.06098,interphase
5,23854,29,2,218,692,1677.215,0.66468,False,0.78008,0.07222,0.07597,interphase
5,24115,27,11,209,676,1926.864,0.62857,False,0.80088,0.06497,0.06714,interphase
5,24949,38,32,218,740,383.765,2.10262,False,0.43633,0.04675,0.05893,interphase
5,23799,28,7,214,685,1800.030,0.63846,False,0.79087,0.06851,0.07057,interphase
5,23993,27,12,208,676,1916.817,0.64019,False,0.80379,0.06615,0.06867,interphase
5,24570,30,22,209,675,1944.947,0.71558,False,0.76262,0.06311,0.06653,interphase
5,25018,35,31,199,691,441.029,1.84484,False,0.75256,0.11475,0.12676,interphase
5,24317,29,21,208,673,1985.132,0.68508,False,0.76850,0.06156,0.06414,interphase
5,23743,27,4,213,687,1694.043,0.66762,False,0.81316,0.07283,0.07689,interphase
5,24063,29,10,212,675,1934.649,0.62035,False,0.77129,0.06132,0.06060,interphase
6,23681,33,8,1085,888,3329.064,1.20732,False,0.67059,0.21315,0.05948,interphase
6,24577,36,17,1086,878,3127.637,1.32774,False,0.64578,0.21300,0.05538,interphase
6,24067,39,16,1086,882,3292.646,1.26487,False,0.65747,0.20616,0.05529,interphase
6,25859,47,48,1085,887,3154.260,1.42534,False,0.67147,0.22381,0.05982,interphase
6,24068,38,9,1088,886,3279.586,1.22492,False,0.66573,0.21283,0.05815,interphase
6,23815,36,3,1088,894,3415.210,1.15198,False,0.68061,0.21438,0.06344,interphase
6,24968,39,26,1094,886,2776.020,1.53146,False,0.65171,0.24457,0.06197,interphase
6,25226,39,33,1092,883,2772.001,1.55459,False,0.65723,0.23642,0.05883,interphase
6,25356,39,37,1089,886,2967.651,1.46927,False,0.65966,0.23237,0.05982,interphase
6,25740,45,43,1088,884,3038.477,1.45997,False,0.66355,0.22362,0.05806,interphase
6,25358,42,38,1089,885,3008.338,1.45751,False,0.65687,0.22944,0.05918,interphase
6,24464,37,18,1081,882,3167.320,1.31085,False,0.65912,0.21286,0.05662,interphase
6,25748,43,47,1087,886,3057.816,1.46307,False,0.66803,0.22665,0.05912,interphase
6,24342,38,21,1088,881,3060.830,1.36677,False,0.65695,0.21839,0.05654,interphase
6,24216,37,15,1085,885,3248.443,1.26858,False,0.66253,0.21312,0.05853,interphase
6,23833,35,7,1090,885,3221.067,1.23586,False,0.66775,0.21870,0.05871,interphase
6,26139,44,51,1089,884,3108.047,1.45947,False,0.66898,0.22309,0.05713,interphase
6,24604,38,20,1087,883,3220.314,1.29906,False,0.66142,0.21439,0.05792,interphase
